meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,has_revisions,one_revision_name,agendas,parties,one_revision_url
1964,ATCM,3,ATCM III,wp,21,True,"Proposed amendment of the delegation of the United States of America concerning Agenda item 7, refuge huts",ATCM 7,United Kingdom | United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp021_e.pdf
1964,ATCM,3,ATCM III,wp,22,True,Application of Article IX paragraph 2 of the Antarctic Treaty,ATCM 9,South Africa,https://documents.ats.aq/ATCM3/wp/ATCM3_wp022_e.pdf
1964,ATCM,3,ATCM III,wp,23,False,Recommendation proposed by U.S.S.R. concerning telecommunications,ATCM 2,Russian Federation,https://documents.ats.aq/ATCM3/wp/ATCM3_wp023_e.pdf
1964,ATCM,3,ATCM III,wp,24,False,Itineraries of ships and aircraft in the Antarctic,ATCM 7,Argentina,https://documents.ats.aq/ATCM3/wp/ATCM3_wp024_e.pdf
1964,ATCM,3,ATCM III,wp,25,True,Proposal of the United States of America. Application of Article IX of the Antarctic Treaty,ATCM 9,United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp025_e.pdf
1964,ATCM,3,ATCM III,wp,26,False,New Zealand redraft of Article IX (1) of the draft agreed measures,ATCM 1,New Zealand,https://documents.ats.aq/ATCM3/wp/ATCM3_wp026_e.pdf
1964,ATCM,3,ATCM III,wp,27,True,Draft recommendation proposed by the Belgian delegation concerning the implementation of the agreed measures,ATCM 1,Belgium,https://documents.ats.aq/ATCM3/wp/ATCM3_wp027_e.pdf
1964,ATCM,3,ATCM III,wp,28,False,Questions concerning meetings of experts,ATCM 8,New Zealand,https://documents.ats.aq/ATCM3/wp/ATCM3_wp028_e.pdf
1964,ATCM,3,ATCM III,wp,29,False,Questions concerning meetings of experts. (Submitted by South African delegation as second paragraph to draft recommendation proposed by New Zealand delegation),ATCM 8,South Africa,https://documents.ats.aq/ATCM3/wp/ATCM3_wp029_e.pdf
1964,ATCM,3,ATCM III,wp,30,False,Joint United States of America/United Kingdom redraft of Article IV,ATCM 1,United Kingdom | United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp030_e.pdf
1964,ATCM,3,ATCM III,wp,31,False,Conservation of fauna and flora. Revision of Article X on Amendments proposed by the United States of America.,ATCM 1,United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp031_e.pdf
